model, RPI_auc, RPI_aupr, PDI_auc, PDI_aupr
gcn_gcn_gcn, 0.47932230252386215, 0.001623062038592172, 0.6162814573846416, 0.4597001054283241
gcn_gcn_gat, 0.48143989109471214, 0.0016217730319107316, 0.6115872641994381, 0.464128318487241
gcn_gcn_gin, 0.4851533431880982, 0.001798710492508999, 0.5972063538087876, 0.4387838441639748
gcn_gat_gcn, 0.46932316719830075, 0.0019610247601089597, 0.5136590806707049, 0.2183143213969693
gcn_gat_gat, 0.5376798411960978, 0.0021185961765103276, 0.5143001860029229, 0.2260613950920196
gcn_gat_gin, 0.528742663987755, 0.001941459635488392, 0.5602538543019239, 0.3562690598900188
gcn_gin_gcn, 0.5484262973155338, 0.00228939681743396, 0.5392163636293305, 0.29143812107735095
gcn_gin_gat, 0.5828608498199702, 0.0026550700850152243, 0.5369838464591355, 0.3293103322841304
gcn_gin_gin, 0.526448158517503, 0.002056170655222742, 0.521403413568947, 0.2843939373518635
gat_gcn_gcn, 0.4890041543679747, 0.0017168516170324975, 0.614036986733012, 0.45357133141760375
gat_gcn_gat, 0.48422916194619436, 0.0016516155433777932, 0.5826481892272999, 0.40243935870920267
gat_gcn_gin, 0.486367265237947, 0.0016699330854292795, 0.5759794604864191, 0.40687134499011274
gat_gat_gcn, 0.5207694737822838, 0.002075049758932533, 0.5631910806293717, 0.3318765471833628
gat_gat_gat, 0.5215493816178162, 0.0019326351878743576, 0.5259898008120051, 0.22813315387194963
gat_gat_gin, 0.5051530591890275, 0.002046829049204431, 0.5088088356439385, 0.22812633339912033
gat_gin_gcn, 0.5437575003891529, 0.002213314669697081, 0.5057969059375281, 0.2405279749175798
gat_gin_gat, 0.5920755322445062, 0.0026791254714190827, 0.5117582385292969, 0.27776063080269736
gat_gin_gin, 0.6012402695601915, 0.0034750664321402036, 0.5250038524307876, 0.27344303740842396
gin_gcn_gcn, 0.47290560538817533, 0.0016098037160153832, 0.6122305233948717, 0.4466441034533162
gin_gcn_gat, 0.48475643553181996, 0.001679197689874573, 0.578684778248908, 0.3982390692277383
gin_gcn_gin, 0.4668606174271873, 0.001577616685687293, 0.5821007454749934, 0.4201509696700873
gin_gat_gcn, 0.4518063066733126, 0.0015913899799525116, 0.5648347087522063, 0.33809363302770795
gin_gat_gat, 0.4769413768147931, 0.0016486264970694956, 0.5315729975514148, 0.28533371098942484
gin_gat_gin, 0.5036416369440334, 0.0019154184518473854, 0.5170206878661764, 0.24506493786255829
gin_gin_gcn, 0.4868886965931269, 0.0017925264677478593, 0.5311190854374548, 0.28591418738035074
gin_gin_gat, 0.49012258429738614, 0.001996237608711887, 0.5371360104926324, 0.31149999201416007
gin_gin_gin, 0.4933348253333862, 0.001745003869831737, 0.5610338955190701, 0.3572511955517579
