{'epoch': 1000, 'lr': 9e-05, 'wd': 6e-07, 'sim_threshold': 0.5, 'loss_p_weight': 0.998, 'loss_d_weight': 0.95, 'loss_weight': 0.0002, 'a1': 1e-09, 'a2': 1e-09, 'dropout': 0.2, 'graph_dropout': 0.1, 'fr_dim': [4096, [1512, 1024], [5603, 2048]], 'fd_dim': [2048, [1512, 1024], [5603, 2048]]}
Epoch: 9 loss: 0.000498, pauc: 0.930652, paupr: 0.067723, paupr_m: 0.133479, dauc: 0.851494, daupr: 0.370713, daupr_m: 0.410945
Epoch: 19 loss: 0.000334, pauc: 0.924335, paupr: 0.099376, paupr_m: 0.185441, dauc: 0.890578, daupr: 0.417173, daupr_m: 0.454441
Epoch: 29 loss: 0.000232, pauc: 0.926221, paupr: 0.154442, paupr_m: 0.273408, dauc: 0.903367, daupr: 0.389629, daupr_m: 0.415827
Epoch: 39 loss: 0.000168, pauc: 0.925349, paupr: 0.228221, paupr_m: 0.307883, dauc: 0.906495, daupr: 0.360947, daupr_m: 0.381021
Epoch: 49 loss: 0.000125, pauc: 0.924077, paupr: 0.298727, paupr_m: 0.350891, dauc: 0.910362, daupr: 0.388035, daupr_m: 0.422245
Epoch: 59 loss: 0.000096, pauc: 0.932162, paupr: 0.343010, paupr_m: 0.362987, dauc: 0.912600, daupr: 0.402526, daupr_m: 0.446611
Epoch: 69 loss: 0.000077, pauc: 0.931550, paupr: 0.383459, paupr_m: 0.396435, dauc: 0.913112, daupr: 0.401216, daupr_m: 0.437807
Epoch: 79 loss: 0.000064, pauc: 0.936779, paupr: 0.363412, paupr_m: 0.402848, dauc: 0.914583, daupr: 0.398629, daupr_m: 0.433995
Epoch: 89 loss: 0.000055, pauc: 0.932649, paupr: 0.407270, paupr_m: 0.445580, dauc: 0.914211, daupr: 0.398188, daupr_m: 0.439321
Epoch: 99 loss: 0.000048, pauc: 0.940588, paupr: 0.415067, paupr_m: 0.461050, dauc: 0.915138, daupr: 0.405978, daupr_m: 0.439584
Epoch: 109 loss: 0.000043, pauc: 0.928819, paupr: 0.411951, paupr_m: 0.468265, dauc: 0.915686, daupr: 0.407543, daupr_m: 0.440917
Epoch: 119 loss: 0.000039, pauc: 0.931165, paupr: 0.424562, paupr_m: 0.523125, dauc: 0.916046, daupr: 0.414041, daupr_m: 0.444570
Epoch: 129 loss: 0.000037, pauc: 0.928889, paupr: 0.427625, paupr_m: 0.530298, dauc: 0.915739, daupr: 0.402209, daupr_m: 0.447595
Epoch: 139 loss: 0.000034, pauc: 0.931396, paupr: 0.437917, paupr_m: 0.562539, dauc: 0.916814, daupr: 0.413437, daupr_m: 0.443159
Epoch: 149 loss: 0.000032, pauc: 0.934481, paupr: 0.455783, paupr_m: 0.588346, dauc: 0.916714, daupr: 0.411726, daupr_m: 0.452022
Epoch: 159 loss: 0.000030, pauc: 0.935240, paupr: 0.439259, paupr_m: 0.593814, dauc: 0.917027, daupr: 0.411472, daupr_m: 0.449180
Epoch: 169 loss: 0.000030, pauc: 0.928772, paupr: 0.442993, paupr_m: 0.567403, dauc: 0.917048, daupr: 0.415619, daupr_m: 0.451563
Epoch: 179 loss: 0.000029, pauc: 0.929147, paupr: 0.448783, paupr_m: 0.571439, dauc: 0.917369, daupr: 0.412440, daupr_m: 0.456601
Epoch: 189 loss: 0.000027, pauc: 0.933644, paupr: 0.438103, paupr_m: 0.573336, dauc: 0.917762, daupr: 0.416117, daupr_m: 0.452903
Epoch: 199 loss: 0.000027, pauc: 0.932542, paupr: 0.444300, paupr_m: 0.561050, dauc: 0.917796, daupr: 0.416157, daupr_m: 0.456687
Epoch: 209 loss: 0.000027, pauc: 0.925475, paupr: 0.446703, paupr_m: 0.588242, dauc: 0.918087, daupr: 0.414042, daupr_m: 0.473590
Epoch: 219 loss: 0.000027, pauc: 0.944567, paupr: 0.444843, paupr_m: 0.566882, dauc: 0.917769, daupr: 0.415589, daupr_m: 0.464865
Epoch: 229 loss: 0.000026, pauc: 0.934630, paupr: 0.458693, paupr_m: 0.616771, dauc: 0.918345, daupr: 0.421278, daupr_m: 0.463873
Epoch: 239 loss: 0.000025, pauc: 0.929432, paupr: 0.453017, paupr_m: 0.587906, dauc: 0.918686, daupr: 0.420430, daupr_m: 0.466398
Epoch: 249 loss: 0.000024, pauc: 0.933972, paupr: 0.466605, paupr_m: 0.581639, dauc: 0.918552, daupr: 0.416347, daupr_m: 0.464382
Epoch: 259 loss: 0.000024, pauc: 0.931447, paupr: 0.463341, paupr_m: 0.585844, dauc: 0.919257, daupr: 0.425983, daupr_m: 0.464964
Epoch: 269 loss: 0.000024, pauc: 0.928004, paupr: 0.458623, paupr_m: 0.586032, dauc: 0.918434, daupr: 0.418154, daupr_m: 0.465182
Epoch: 279 loss: 0.000024, pauc: 0.935523, paupr: 0.454418, paupr_m: 0.574530, dauc: 0.918332, daupr: 0.417302, daupr_m: 0.468781
Epoch: 289 loss: 0.000023, pauc: 0.931766, paupr: 0.466249, paupr_m: 0.580643, dauc: 0.919267, daupr: 0.426512, daupr_m: 0.476981
Epoch: 299 loss: 0.000023, pauc: 0.928041, paupr: 0.462015, paupr_m: 0.585754, dauc: 0.919431, daupr: 0.428301, daupr_m: 0.473927
Epoch: 309 loss: 0.000023, pauc: 0.926661, paupr: 0.470378, paupr_m: 0.582380, dauc: 0.919218, daupr: 0.426015, daupr_m: 0.469960
Epoch: 319 loss: 0.000022, pauc: 0.942108, paupr: 0.477003, paupr_m: 0.584469, dauc: 0.919241, daupr: 0.423690, daupr_m: 0.475875
Epoch: 329 loss: 0.000022, pauc: 0.939476, paupr: 0.452510, paupr_m: 0.587187, dauc: 0.919642, daupr: 0.430737, daupr_m: 0.475051
Epoch: 339 loss: 0.000022, pauc: 0.941629, paupr: 0.477000, paupr_m: 0.579737, dauc: 0.921150, daupr: 0.450832, daupr_m: 0.478546
