{'epoch': 1000, 'lr': 8e-05, 'wd': 0, 'sim_threshold': 0.7, 'loss_p_weight': 0.993, 'loss_d_weight': 0.994, 'loss_weight': 0.002, 'a1': 1e-08, 'a2': 1e-08, 'dropout': 0, 'graph_dropout': 0, 'fr_dim': [4096, [1426, 1024], [681, 256], 4447], 'fd_dim': [2048, [1426, 1024], [681, 256], 4447]}
Epoch: 9 loss: 0.002177, pauc: 0.952042, paupr: 0.519440, paupr_m: 0.537007, dauc: 0.813824, daupr: 0.075549, daupr_m: 0.158486
Epoch: 19 loss: 0.000832, pauc: 0.976342, paupr: 0.800597, paupr_m: 0.746561, dauc: 0.828193, daupr: 0.139029, daupr_m: 0.243088
Epoch: 29 loss: 0.000476, pauc: 0.980917, paupr: 0.861344, paupr_m: 0.809995, dauc: 0.842158, daupr: 0.120916, daupr_m: 0.208118
Epoch: 39 loss: 0.000341, pauc: 0.980982, paupr: 0.875221, paupr_m: 0.832460, dauc: 0.848309, daupr: 0.172416, daupr_m: 0.247446
Epoch: 49 loss: 0.000282, pauc: 0.983059, paupr: 0.886348, paupr_m: 0.845011, dauc: 0.857489, daupr: 0.213301, daupr_m: 0.296952
Epoch: 59 loss: 0.000251, pauc: 0.982312, paupr: 0.893349, paupr_m: 0.860711, dauc: 0.866197, daupr: 0.223054, daupr_m: 0.291659
Epoch: 69 loss: 0.000234, pauc: 0.982637, paupr: 0.898897, paupr_m: 0.864107, dauc: 0.871798, daupr: 0.256420, daupr_m: 0.336111
Epoch: 79 loss: 0.000222, pauc: 0.982214, paupr: 0.901792, paupr_m: 0.865683, dauc: 0.877353, daupr: 0.277468, daupr_m: 0.347238
Epoch: 89 loss: 0.000215, pauc: 0.982230, paupr: 0.903556, paupr_m: 0.867952, dauc: 0.882597, daupr: 0.301325, daupr_m: 0.368439
Epoch: 99 loss: 0.000209, pauc: 0.982161, paupr: 0.904743, paupr_m: 0.868713, dauc: 0.886970, daupr: 0.321180, daupr_m: 0.380433
Epoch: 109 loss: 0.000204, pauc: 0.982114, paupr: 0.905431, paupr_m: 0.868748, dauc: 0.890769, daupr: 0.338654, daupr_m: 0.385683
Epoch: 119 loss: 0.000200, pauc: 0.981944, paupr: 0.905999, paupr_m: 0.868792, dauc: 0.894260, daupr: 0.354956, daupr_m: 0.394846
Epoch: 129 loss: 0.000197, pauc: 0.981793, paupr: 0.906522, paupr_m: 0.869392, dauc: 0.897299, daupr: 0.366425, daupr_m: 0.412498
Epoch: 139 loss: 0.000194, pauc: 0.981425, paupr: 0.906715, paupr_m: 0.869063, dauc: 0.899989, daupr: 0.374911, daupr_m: 0.421602
