Drug, Protein, , Identifier, Method, Resolution, Positions, Binding Affinity(kcal/mol)
DB00622, P28223, 5.968935, 6WHA, EM, 3.36 Å, 66-404, -5.4
DB01118, P07550, 5.799261, 1GQ4, EM, 3.82 Å, 409-413, -5.7
DB01118, P07550, 5.799261, 7BZ2, EM, 3.82 Å, 1-348, -6.4
DB00938, P08588, 5.721078, 2LSQ, NMR, , 197-221, -6.6
DB00734, P28222, 5.705812, 6G79, EM, 3.78 Å, 34-390, -5.1
DB00834, P10275, 5.555146, 4OH6, X-ray, 3.56 Å, 671-920, 无法对接
DB00320, P08908, 5.47737, AF-P08908-F1, Predicted, , , 无法对接
DB00308, Q14524, 5.477334, 4JQ0, X-ray, 3.84 Å, 1773-1940, 无法对接
DB00308, Q14524, 5.477334, 5DBR, X-ray, 2.25 Å, 1483-1529, 无法对接
DB00640, Q07343, 5.45477, 4X0F, X-ray, 3.22 Å, 122-736, -4.3
DB00193, P11229, 5.435505, 6OIJ, EM, 3.30 Å, 2-460, -3.7
DB00843, P14416, 5.413827, 6VMS, EM, 3.80 Å, 29-443, -5.4
DB00482, Q9UPY5, 5.399631, AF-Q9UPY5-F1, Predicted, , , 无法对接
DB01069, P08908, 5.384166, AF-P08908-F1, Predicted, , , 无法对接
DB01151, P25100, 5.358814, AF-P25100-F1, Predicted, , , -5.0
DB00907, P20309, 5.28958, 2CSA, NMR, , 271-289, 无法对接
DB00933, P21728, 5.247767, 7CKX, EM, 3.54 Å, 1-446, -5.6
DB00661, O95180, 5.244994, AF-O95180-F1, Predicted, , , -7.1
DB06216, Q9H3N8, 5.225391, AF-Q9H3N8-F1, Predicted, , 1-390, 无法对接
DB00321, O43525, 5.214053, 5J03, X-ray, 2.00 Å, 354-409, -4.9
DB00799, P48443, 5.09643, 2GL8, X-ray, 2.40 Å, 227-463, -4.4
DB00334, P41595, 5.087029, 6DS0, X-ray, 3.19 Å, , -5.5
DB01183, P62158, 5.069914, 无
DB00441, P00374, 5.051651, 4KD7, X-ray, 2.72 Å, 2-187, -4.5
DB01611, Q9NR97, 5.04982, 5Z15, X-ray, 2.90 Å, 27-827, -6.0
DB00659, O60391, 5.035811, AF-O60391-F1, Predicted, , 1-1043, -3.8
